timestamp,best_bid,best_ask,mid,bid_quote,ask_quote,imbalance,inventory,cash,pnl
2025-12-30T11:52:27.488315,10007.0,10011.0,10009.0,10006.99,10010.99,-0.0064,0,0.0,0.0
2025-12-30T11:52:27.793175,10006.0,10008.0,10007.0,10005.25,10009.25,0.1696,0,0.0,0.0
2025-12-30T11:52:28.105883,10012.0,10016.0,10014.0,10012.49,10016.49,0.3249,0,0.0,0.0
2025-12-30T11:52:28.407664,10005.0,10009.0,10007.0,10004.99,10008.99,-0.007,-1,10008.99,1.99
2025-12-30T11:52:28.707707,10007.0,10009.0,10008.0,10005.71,10010.71,-0.0575,-1,10008.99,0.99
2025-12-30T11:52:29.008418,10004.0,10006.0,10005.0,10002.84,10007.84,0.0261,-1,10008.99,3.99
2025-12-30T11:52:29.310278,10013.0,10015.0,10014.0,10012.59,10017.59,0.5279,-1,10008.99,-5.01
2025-12-30T11:52:29.618693,10003.0,10007.0,10005.0,10003.07,10008.07,0.177,-1,10008.99,3.99
2025-12-30T11:52:29.921879,9985.0,9987.0,9986.0,9983.47,9988.47,-0.2177,-1,10008.99,22.99
2025-12-30T11:52:30.236751,10013.0,10017.0,10015.0,10012.44,10017.44,-0.2411,-1,10008.99,-6.01
2025-12-30T11:52:30.537765,9979.0,9981.0,9980.0,9978.52,9983.52,0.4819,-1,10008.99,28.99
2025-12-30T11:52:30.844634,9998.0,10002.0,10000.0,9997.67,10002.67,-0.0836,-1,10008.99,8.99
2025-12-30T11:52:31.154651,9993.0,9997.0,9995.0,9993.23,9998.23,0.285,0,15.76,15.76
2025-12-30T11:52:31.456955,10009.0,10011.0,10010.0,10007.64,10011.64,-0.2381,0,15.76,15.76
2025-12-30T11:52:31.757408,10007.0,10009.0,10008.0,10005.34,10009.34,-0.4413,0,15.76,15.76
2025-12-30T11:52:32.059736,10011.0,10015.0,10013.0,10010.66,10014.66,-0.2291,0,15.76,15.76
2025-12-30T11:52:32.373411,9991.0,9995.0,9993.0,9990.47,9994.47,-0.3542,0,15.76,15.76
2025-12-30T11:52:32.677375,9984.0,9988.0,9986.0,9984.29,9988.29,0.1916,0,15.76,15.76
2025-12-30T11:52:32.983209,10017.0,10019.0,10018.0,10016.15,10020.15,0.1,0,15.76,15.76
2025-12-30T11:52:33.291458,9983.0,9985.0,9984.0,9981.89,9985.89,-0.0706,0,15.76,15.76
2025-12-30T11:52:33.603738,9989.0,9993.0,9991.0,9989.07,9993.07,0.0441,0,15.76,15.76
